ActivityId,AdvertisedTrainIdent,AdvertisedTimeAtLocation,EstimatedTimeAtLocation,TimeAtLocation,DelayMinutes,DelayStatus,IsCanceled,IsReplaced,DeviationDescription,FromLocation,TrackAtLocation,ProductDescription,OperationalTrainNumber,LastUpdated,DataFreshness
1500adde-8c5d-35ca-08de-0f69c00cbd8a,389,2025-11-04T15:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,No.osl,2,Vy Snabbtåg,389,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b1fc3033,336,2025-11-04T15:51:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kac,13,SJ Regional,10336,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b9320172,3659,2025-11-04T15:55:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,1,Västtågen,3659,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c7459e40,63557,2025-11-04T15:57:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22R; Åkareplatsen,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ace474b7,3112,2025-11-04T16:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3112,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69af9e5584,3257,2025-11-04T16:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,8,Västtågen,3257,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69cd2d13fc,73557,2025-11-04T16:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bbbd1b22,3757,2025-11-04T16:07:00.000+01:00,,,,NO_ESTIMATE,False,False,,Snu,9,Västtågen,3757,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6947b40223,13609,2025-11-04T16:10:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,13609,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69cd50d6ed,7362,2025-11-04T16:10:00.000+01:00,,,,NO_ESTIMATE,False,False,,Bsc,15,Västtågen,7362,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ab276f9a,3062,2025-11-04T16:15:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,15,Västtågen,3062,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f692f9ad97c,1066,2025-11-04T16:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Dk.kh,14,Öresundståg,11066,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bbd2bc9c,3759,2025-11-04T16:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Uv,11,Västtågen,3759,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b9451456,3661,2025-11-04T16:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,3661,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b5dec032,3559,2025-11-04T16:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,A,1,Västtågen,3559,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69acf83543,3114,2025-11-04T16:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3114,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69afb3e1ed,3259,2025-11-04T16:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,9,Västtågen,3259,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b35ae775,3461,2025-11-04T16:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Ör,2,Västtågen,3461,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c2223bc1,490,2025-11-04T16:35:00.000+01:00,,,,NO_ESTIMATE,False,False,,Mc,12,SJ Snabbtåg,490,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6939a8bc18,12033,2025-11-04T16:40:00.000+01:00,,,,NO_ESTIMATE,False,False,,Cst,5,VR Snabbtåg,12033,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6947c58f2e,13611,2025-11-04T16:40:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,13611,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ab3cfac3,3064,2025-11-04T16:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,15,Västtågen,3064,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b991c8d2,367,2025-11-04T16:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,Ksc,1,SJ Regional,20367,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f696eee4c3f,20174,2025-11-04T16:50:00.000+01:00,,,,NO_ESTIMATE,False,False,,Hd,14,Öresundståg,20174,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bbef58b8,3761,2025-11-04T16:50:00.000+01:00,,,,NO_ESTIMATE,False,False,,Snu,8,Västtågen,3761,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b955db48,3663,2025-11-04T16:55:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,3663,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c7459e4e,63561,2025-11-04T16:57:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22R; Åkareplatsen,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ad0b480f,3116,2025-11-04T17:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3116,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69afc98253,3261,2025-11-04T17:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,11,Västtågen,3261,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69cd2f762f,73561,2025-11-04T17:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6947da2b10,13613,2025-11-04T17:10:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,13613,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ab500da5,3066,2025-11-04T17:15:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,15,Västtågen,3066,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69303bf90c,1074,2025-11-04T17:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Dk.kh,14,Öresundståg,11074,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bc026bb4,3763,2025-11-04T17:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Uv,8,Västtågen,3763,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b610d185,3563,2025-11-04T17:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,A,1,Västtågen,3563,2025-11-04T12:36:22.167338,SCHEDULED
