id,page,track,sub,x0,x1,y,arrival_train,departure_train,arrival_time,departure_time,vehicle_count,bar_color,continues_from_prev,continues_to_next,stitched_from
284,6,12,2,375.6,540.6,381.1,490,497,16:37,17:22,1,"0.000,1.000,1.000",False,False,
285,6,13,1,247.4,302.4,399.0,,13216,16:00,16:13,1,"1.000,0.600,0.800",False,False,
286,6,13,2,119.3,302.4,408.0,7358,13216,15:25,16:13,1,"1.000,0.600,0.800",False,False,
287,6,13,2,320.8,375.7,408.0,,7367,16:20,16:35,1,"0.600,0.800,1.000",False,False,
288,6,13,2,430.7,503.9,408.0,13164,13169,16:54,17:11,1,"0.733,0.710,0.616",False,False,
289,6,13,2,577.1,46.0,408.0,343,343,17:33,18:02,1,"0.000,1.000,1.000",False,False,420
290,6,14,1,45.8,119.4,426.2,11058,20173,15:04,15:21,2,"0.800,1.000,0.800",False,False,
291,6,14,1,192.6,229.3,426.2,11119,,15:48,15:54,1,"0.800,1.000,0.800",False,False,
292,6,14,1,265.6,339.1,426.2,11066,20175,16:07,16:24,2,"0.800,1.000,0.800",False,False,
293,6,14,1,412.3,449.0,426.2,11127,,16:50,16:57,1,"0.800,1.000,0.800",False,False,
294,6,14,1,485.6,559.1,426.2,11074,20177,17:09,17:26,2,"0.800,1.000,0.800",False,False,
295,6,14,1,595.6,669.0,426.2,20176,11135,17:41,17:58,2,"0.800,1.000,0.800",False,False,
296,6,14,2,174.1,229.3,435.1,20172,11119,15:40,15:53,1,"0.800,1.000,0.800",False,False,
297,6,14,2,394.1,449.0,435.1,20174,11127,16:42,16:56,1,"0.800,1.000,0.800",False,False,
298,6,15,1,192.6,247.6,453.4,3060,3115,15:45,15:58,2,"0.733,0.710,0.616",False,False,
299,6,15,1,522.2,577.2,453.4,3066,3121,17:19,17:32,2,"0.733,0.710,0.616",False,False,
300,6,15,2,82.6,137.5,462.3,3058,3113,15:14,15:27,1,"0.733,0.710,0.616",False,False,
301,6,15,2,302.3,357.5,462.3,3062,3117,16:17,16:29,2,"0.733,0.710,0.616",False,False,
302,6,15,2,412.3,467.5,462.3,3064,3119,16:48,17:01,2,"0.733,0.710,0.616",False,False,
303,6,15,2,632.3,687.2,462.3,3068,3123,17:51,18:03,1,"0.733,0.710,0.616",False,False,
304,6,15,3,174.1,284.2,471.5,93167,13167,15:41,16:08,1,"0.733,0.710,0.616",False,False,
305,6,15,3,503.8,595.7,471.5,64717,7371,17:15,17:37,1,"0.600,0.800,1.000",False,False,
306,6,15,3,632.3,82.7,471.5,3068,3073,17:51,18:11,1,"0.733,0.710,0.616",False,False,432
307,6,16,2,137.4,192.7,498.7,3110,3063,15:30,15:42,2,"0.733,0.710,0.616",False,False,
308,6,16,2,247.4,302.4,498.7,3112,3065,16:01,16:14,2,"0.733,0.710,0.616",False,False,
309,6,16,2,357.4,412.4,498.7,3114,3067,16:32,16:45,2,"0.733,0.710,0.616",False,False,
310,6,16,2,467.4,522.4,498.7,3116,3069,17:04,17:16,2,"0.733,0.710,0.616",False,False,
311,6,16,2,577.1,632.4,498.7,3118,3071,17:35,17:48,2,"0.733,0.710,0.616",False,False,
312,6,5,2,104.5,134.0,516.6,431,442,15:19,15:27,1,"0.000,1.000,1.000",False,False,
313,7,1,2,163.2,331.7,64.2,3567,3576,18:37,19:22,2,"1.000,0.949,0.584",False,False,
314,7,1,2,382.9,438.2,64.2,3571,,19:40,19:54,1,"1.000,0.949,0.584",False,False,
315,7,1,2,602.9,658.0,64.2,3575,,20:42,20:56,1,"1.000,0.949,0.584",False,False,
316,7,1,3,382.9,456.4,73.4,,,19:38,19:59,1,"1.000,0.949,0.584",False,False,
317,7,1,3,496.4,551.8,73.4,83483,13482,20:12,20:25,1,"1.000,0.800,0.600",False,False,
318,7,1,3,602.9,112.0,73.4,3575,3584,20:42,21:19,1,"1.000,0.949,0.584",False,False,441
319,7,2,3,97.2,181.6,109.6,3569,3574,18:18,18:39,1,"1.000,0.949,0.584",False,False,
320,7,2,3,316.9,401.5,109.6,3573,3578,19:21,19:42,1,"1.000,0.949,0.584",False,False,
321,7,2,3,536.9,621.2,109.6,3577,3582,20:24,20:45,1,"1.000,0.949,0.584",False,False,
322,7,3,2,350.0,588.4,136.7,2009,2052,19:30,20:35,1,"0.984,0.769,0.192",False,False,
323,7,4,1,111.8,383.0,154.9,175,192,18:22,19:37,2,"0.000,1.000,1.000",False,False,
324,7,4,1,621.1,669.0,154.9,443,4444,20:47,20:58,1,"0.000,1.000,1.000",False,False,
325,7,4,2,401.4,559.1,163.8,441,,19:45,20:28,1,"0.000,1.000,1.000",False,False,
326,7,4,2,621.1,119.4,163.8,443,,20:47,21:23,1,"0.000,1.000,1.000",False,False,451
327,7,6,0,247.4,302.4,199.9,3269,,19:01,19:15,1,"1.000,0.600,0.800",False,False,
328,7,6,1,247.4,320.9,208.9,,,19:00,19:20,1,"1.000,0.600,0.800",False,False,
329,7,6,2,551.6,669.0,218.2,179,,20:27,21:00,1,"0.000,1.000,1.000",False,False,
330,7,7,1,302.3,503.9,236.0,393,398,19:16,20:12,1,"0.396,0.478,0.529",False,False,
331,7,7,1,613.8,137.5,236.0,20375,,20:46,21:28,1,"0.000,1.000,1.000",False,False,458
332,7,7,2,27.7,163.3,245.3,3265,3474,17:59,18:34,1,"1.000,0.800,0.600",True,False,
333,7,7,2,192.6,247.6,245.3,13771,3276,18:46,18:58,1,"1.000,0.600,0.800",False,False,
334,7,7,2,302.3,705.7,245.3,393,384,19:16,,1,"0.396,0.478,0.529",False,True,460
335,7,8,1,137.4,284.2,263.3,3267,13774,18:30,19:08,1,"1.000,0.400,0.000",False,False,
336,7,8,2,137.4,357.5,272.5,3267,3278,18:30,19:29,1,"1.000,0.600,0.800",False,False,
337,7,8,2,467.4,522.4,272.5,3273,,20:04,20:18,1,"1.000,0.600,0.800",False,False,
338,7,8,2,687.1,82.7,272.5,3277,,21:06,21:13,1,"1.000,0.600,0.800",False,False,462
339,7,9,1,229.2,284.2,290.4,3671,,18:56,19:10,1,"0.800,0.600,1.000",False,False,
340,7,9,1,412.3,467.5,290.4,,3280,19:47,20:01,1,"1.000,0.600,0.800",False,False,
341,7,9,1,632.3,687.2,290.4,,13236,20:49,21:03,2,"1.000,0.600,0.800",False,False,
342,7,9,2,174.1,302.4,299.6,20371,20376,18:41,19:13,1,"0.000,1.000,1.000",False,False,
343,7,9,2,375.6,533.3,299.6,492,450,19:37,20:20,1,"0.000,1.000,1.000",False,False,
344,7,10,2,64.1,100.9,326.8,13617,3672,18:06,18:18,1,"0.800,0.600,1.000",False,False,
345,7,10,2,155.9,210.8,326.8,13619,3674,18:35,18:48,1,"0.800,0.600,1.000",False,False,
346,7,10,2,284.0,320.9,326.8,13621,3676,19:09,19:21,1,"0.800,0.600,1.000",False,False,
347,7,10,2,339.0,430.8,326.8,3673,3678,19:27,19:50,1,"0.800,0.600,1.000",False,False,
348,7,10,2,448.9,540.6,326.8,3675,3680,19:58,20:22,1,"0.800,0.600,1.000",False,False,
349,7,10,2,559.0,650.5,326.8,3677,3682,20:30,20:53,1,"0.800,0.600,1.000",False,False,
350,7,10,2,668.9,100.9,326.8,3679,3684,21:01,21:16,1,"0.800,0.600,1.000",False,False,468
351,7,11,1,137.4,192.7,344.8,3122,3075,18:30,18:42,1,"0.733,0.710,0.616",False,False,
